country,first_degree,other_degree,n_stats_courses,stats_courses_view,numeric_examples,n_columns,n_rows,use_spreadsheet,use_package,today,start,X_id,X_uuid,X_submission_time,deviceid
zambia,mathematics,,0,NA,not_applicable,,,no,no,2018-11-09,2018-11-09T21:22:38.359+01,17575080,112039c2-528a-42b9-aa87-5d23adbc3e2b,2018-11-10T09:24:17,359991082752566
chad,physics,,0,Not applicable,not_applicable,,,no,no,2018-11-09,2018-11-09T21:01:43.535+01,17575078,4501945c-1c57-4977-898d-a99d7b4e1a37,2018-11-10T09:24:14,359991082752566
cameroom,applied_mathematics,,5,Pretty challenging,yes,10,500,yes_occasionally,yes_occasionally,2018-11-09,2018-11-09T10:24:14.623+01,17526299,5c42d9ab-d052-44ca-919c-c0f8142045b7,2018-11-09T10:30:49,861756031962975
madagascar,applied_mathematics,,3,The materials were interesting and applicable. ,yes,10,200,yes_occasionally,yes_quite_a_lot,2018-11-10,2018-11-10T15:35:18.519+01,17595697,380ff122-2dab-4c87-ba0b-596716fef108,2018-11-10T16:30:26,352419088196569
cameroom,mathematics_and_computer_science,,3,The statistics course was very delicate because we manipulated many data variables. ,yes,5,5,yes_occasionally,no,2018-11-10,2018-11-10T16:01:10.382+01,17595700,47a570f9-cf10-4726-8b8a-65c81bd664ce,2018-11-10T16:30:28,352419088196569
sudan,physics,,1,Was to some degree useful ,no,,,no,no,2018-11-10,2018-11-10T16:07:07.491+01,17595703,78a886c5-7576-4be6-97f9-9bf7377f70ef,2018-11-10T16:30:29,352419088196569
cameroom,electromechanical_engineering,,3,These courses where really interesting. ,not_much,5,3,yes_quite_a_lot,yes_occasionally,2018-11-10,2018-11-10T16:14:35.631+01,17595706,d60a70c9-5521-4e5a-9111-98625bc35061,2018-11-10T16:30:31,352419088196569
cameroom,mathematics_and_computer_science,,3,It was very basic. ,yes,10,6,yes_occasionally,no,2018-11-10,2018-11-10T16:20:29.342+01,17595710,83fde006-6213-419d-adfc-b782bd33d46c,2018-11-10T16:30:33,352419088196569
cameroom,physics,,2,It was just theory and no practice. ,no,,,yes_occasionally,no,2018-11-10,2018-11-10T16:25:24.801+01,17595711,f8096bbb-579d-424b-b1bd-22ce534d1a7e,2018-11-10T16:30:34,352419088196569
nigeria,mathematics,,5,It was interesting  but we had more of theory than the main practical  itself. ,not_much,5,7,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T16:35:26.551+01,17595715,37ee6792-0f43-4784-988c-8d9300995c00,2018-11-10T16:30:35,352419088196569
kenya,acturial_science,,3,"Did just calculations in class, not  field work ",yes,10,50,yes_occasionally,no,2018-11-10,2018-11-10T16:44:16.077+01,17595718,4c0ef394-47e6-42ae-bebf-bcba451375e1,2018-11-10T16:30:36,352419088196569
botswana,mathematics_and_statistics,,8,"It was very basic and shallow, basically the theory on data collection and analysis and a basic lesson on statistical parkages",not_much,12,8,no,yes_occasionally,2018-11-10,2018-11-10T16:49:06.358+01,17595720,4671c339-fd37-4a99-9690-169a69996b7e,2018-11-10T16:30:38,352419088196569
drc,mathematics_and_computer_science,,5,It was normal ,yes,10,20,yes_quite_a_lot,yes_occasionally,2018-11-10,2018-11-10T17:06:45.688+01,17595725,5a81ed4c-b2f9-471b-8980-8cd56d908b1d,2018-11-10T16:30:39,352419088196569
cameroom,mathematics_and_computer_science,,2,This is a very good because I had an introduction in R in master level  band for my personal view  of the course in class it seem  very interesting ,no,,,no,no,2018-11-10,2018-11-10T17:20:35.122+01,17595726,ef49d668-a5c8-420a-8fdc-896edc00a993,2018-11-10T16:30:41,352419088196569
benin,other,Bsc Technical Science applied to Water,3,It was interesting ,no,,,no,no,2018-11-10,2018-11-10T17:26:15.209+01,17595731,8083b148-146e-486d-a2cd-0cff8e25a215,2018-11-10T16:30:43,352419088196569
cameroom,physics,,2,"These courses were very interesting but,I wish I could do more practical courses",no,,,no,no,2018-11-10,2018-11-10T15:46:20.111+01,17597837,282bd6be-63ca-4c1c-9598-0c6c6ad4229b,2018-11-10T16:58:29,861756031962975
cameroom,physics,,2,"Mathematical survey
Analysis of Mathematical data",yes,10,6,no,no,2018-11-10,2018-11-10T15:52:53.167+01,17597842,ac6ea7a5-c5d9-4ecd-a979-baa705ded3c8,2018-11-10T16:58:30,861756031962975
ethiopia,mathematics,,1,Introduction to stastice ,yes,3,9,yes_quite_a_lot,no,2018-11-10,2018-11-10T16:03:22.847+01,17597845,89466a0f-3294-4814-ad50-7923f4eb1ddc,2018-11-10T16:58:31,861756031962975
madagascar,mathematics,,5,These courses are very important for data analysis.,yes,10,100,yes_quite_a_lot,yes_quite_a_lot,2018-11-10,2018-11-10T16:08:28.305+01,17597848,18b3d06b-9de2-46a7-ae15-6a9a20b55720,2018-11-10T16:58:33,861756031962975
cameroom,mathematics_and_computer_science,,2,It was a theoritical courses with less application,not_much,3,20,no,no,2018-11-10,2018-11-10T16:14:35.400+01,17597850,3b147f11-bdd6-4e3a-83bf-852332576123,2018-11-10T16:58:34,861756031962975
cameroom,telecommunication,,4,Very interesting but too theoretical,yes,9,50000,yes_occasionally,no,2018-11-10,2018-11-10T16:22:27.335+01,17597856,4f625077-ed2f-41ba-890f-7a66e57f71ac,2018-11-10T16:58:37,861756031962975
cameroom,physics,,1,Necessary for a experience in nuclear physic,yes,4,1e+07,yes_quite_a_lot,yes_occasionally,2018-11-10,2018-11-10T16:29:48.314+01,17597859,04c0139e-f2ab-416d-9da0-1c16b572647a,2018-11-10T16:58:38,861756031962975
cameroom,mathematics_and_computer_science,,2,It is very amazing. I enjoy it.,yes,26,36,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T16:35:25.387+01,17597864,28ed9a08-3121-4b90-bc85-566d6bd7f1e0,2018-11-10T16:58:40,861756031962975
kenya,mathematics_and_computer_science,,10,It was less practical,yes,8,200,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T17:00:02.669+01,17597868,64713f6c-104e-4263-8d82-b5dc25c27cb2,2018-11-10T16:58:41,861756031962975
sudan,applied_mathematics,,4,"Mostly literature with no practical examples I'd have preferred field experience and more relatable examples, real life ones, also to give an idea about how we can benefit from that in the practical world",no,,,no,no,2018-11-10,2018-11-10T17:30:11.285+01,17597871,6fd1ca5b-e590-4934-9083-86f95b4a56a0,2018-11-10T16:58:42,861756031962975
ghana,statistics,,25,"They were basically theoretical. 
Statistical software were hardly used.",yes,4,10,yes_quite_a_lot,yes_quite_a_lot,2018-11-10,2018-11-10T17:51:51.396+01,17597873,6f6f9e2b-d881-4af5-a387-16aeffa68106,2018-11-10T16:58:43,861756031962975
madagascar,mathematics_and_computer_science,,1,This is a mathematical tools for statistics,yes,6,10,yes_occasionally,no,2018-11-10,2018-11-10T17:54:23.005+01,17597876,07201a9d-e90b-4cdf-b4f6-99f40484f9bf,2018-11-10T16:58:44,861756031962975
sudan,mathematical_science,,5,Its just theoretical,no,,,no,yes_occasionally,2018-11-10,2018-11-10T10:12:35.884+01,17603163,5bf4e4d9-2dad-4a67-a46a-4d0f0ffc6139,2018-11-10T18:48:06,353860091459347
sudan,applied_mathematics,,4,Mostly theoritical not relating to every day problems with very little practical examples,no,,,no,no,2018-11-10,2018-11-10T10:17:15.040+01,17603165,cb0151af-2930-4e22-85cd-dc9eecb2630e,2018-11-10T18:48:08,353860091459347
nigeria,mathematics,,3,"The courses were so confined to the four walls of the classroom providing logical solution to imaginary life concepts that are trivial, mostly theoretical than in reality.",yes,2,12,yes_occasionally,no,2018-11-10,2018-11-10T10:19:42.209+01,17603166,1eddcda1-07df-4aed-9813-189e9f3c62b3,2018-11-10T18:48:09,353860091459347
cameroom,applied_mathematics,,2,These courses was very interesting.,yes,3,4000,whats_a_spreadsheet,yes_occasionally,2018-11-10,2018-11-10T10:29:07.342+01,17603168,a8367aa2-8f0f-4e4b-8cf2-2840b0f69934,2018-11-10T18:48:12,353860091459347
kenya,mathematical_science,,10,The courses were more of theoretical rather than practical.,not_much,10,10,yes_quite_a_lot,yes_quite_a_lot,2018-11-10,2018-11-10T12:19:41.842+01,17603169,ddbd2629-6816-4c44-a4a7-c8eae34e5b51,2018-11-10T18:48:14,353860091459347
cameroom,telecommunication,,4,Courses were more theoritical than practise and we just use data without knowing the process to harvest it. We did just small analysis of results and we were more focus on calculation,not_much,10,125,yes_occasionally,no,2018-11-10,2018-11-10T12:51:53.189+01,17603170,9c9fd0c7-a323-4d7b-992a-9f590408603a,2018-11-10T18:48:17,353860091459347
drc,mathematics,,2,Only basis,not_much,2,10,no,no,2018-11-10,2018-11-10T13:59:17.603+01,17603171,b5da0f65-909e-4bf8-a8b0-f43f4e52e7f3,2018-11-10T18:48:18,353860091459347
ghana,mathematics,,6,They were all interesting just that we couldn't get enough data or information to do practicals.,not_much,5,25,yes_occasionally,no,2018-11-10,2018-11-10T16:36:43.844+01,17603172,ccfa4a71-d5ae-406f-a3f6-bac312359a52,2018-11-10T18:48:19,353860091459347
cameroom,physics,,0,NA,no,,,no,no,2018-11-10,2018-11-10T17:52:32.279+01,17603175,f9baf579-2f4b-46f8-86d6-6c965410e32a,2018-11-10T18:48:20,353860091459347
nigeria,mathematical_science,,4,Not too detailed ,not_much,30,6,no,no,2018-11-10,2018-11-10T17:56:06.005+01,17603177,da5fc831-602f-475e-b3f0-c4f71336a5fb,2018-11-10T18:48:22,353860091459347
nigeria,statistics,,25,They are Eye-opener to statistical analysis and decision making. I can say statistics is majorly a tool for solving diverse problem.,yes,7,169,yes_quite_a_lot,yes_occasionally,2018-11-10,2018-11-10T19:44:50.260+01,17603179,5e341099-7f31-4e8f-97ba-a2f925364bea,2018-11-10T18:48:23,353860091459347
cameroom,mathematics,,2,For The applied statistics in my country,not_much,8,4,yes_quite_a_lot,no,2018-11-10,2018-11-10T10:23:22.097+01,17603183,b60aab06-088f-4f44-87cf-fea423464506,2018-11-10T18:48:47,353860091459347
